dataset,estimator,ate,se,ci_lo,ci_hi,p,lambda,se_ratio,var_ratio
NHANES 2011-12,Reference,-2.83674486437161,0.7873365992328156,-4.379896242578175,-1.2935934861650453,0.0003146099739192998,0.0,1.0,1.0
NHANES 2011-12,PPI,0.7343825493022536,0.6453632056977633,-0.5305060908126771,1.9992711894171842,0.25514686814883825,1.0,0.8196789102991124,0.6718735159891405
NHANES 2011-12,PPCT,0.6554177937303365,0.6452825834557382,-0.6093128296938721,1.920148417154545,0.3097691132116924,0.9778880038641097,0.819576511601905,0.6717056583695475
NHANES 2011-12,PPCT2,0.5540685559547569,0.6454153876207397,-0.7109223588498514,1.8190594707593652,0.3906340084019799,0.9495078241518179,0.8197451868103621,0.6719821712987555
NHANES 2011-12,ANCOVA,0.6771294477457652,0.655334898006196,-0.6073033501586087,1.9615622456501391,0.30148358950290577,,0.8323440046414169,0.6927965420625111
