dataset,estimator,ate,se,ci_lo,ci_hi,p,lambda,se_ratio,var_ratio
ACTG175,Reference,45.59448674044097,9.795468460325287,26.395721346505393,64.79325213437654,3.2452998288690083e-06,0.0,1.0,1.0
ACTG175,PPI,54.714981555654276,7.780080835630508,39.46630332100819,69.96365979030035,2.0257129307310606e-12,1.0,0.7942530637653799,0.6308379293006926
ACTG175,PPCT,53.60267801451795,7.735170454874992,38.44202250868466,68.76333352035124,4.2164050029214195e-12,0.8780435092972213,0.7896682518253061,0.623575947940835
ACTG175,PPCT2,53.83241464657891,7.737091623998829,38.66799371845469,68.99683557470314,3.4585667663122877e-12,0.9032325628206924,0.7898643801811492,0.6238857390789511
ACTG175,ANCOVA,53.77145079665197,7.663467009394413,38.75133146152804,68.7915701317759,2.2732926652224705e-12,,0.7823481889032519,0.6120686886801983
