dist,rho,n,Reference_mean,Reference_sd,PPI_mean,PPI_sd,PPCT_mean,PPCT_sd,PPCT2_mean,PPCT2_sd,ANCOVA_mean,ANCOVA_sd
normal,0.0,2,0.9962987670282812,0.7190009495979403,1.024351494620844,0.9804626335905883,0.9962228944410294,0.7189671034009002,0.9927092423810645,0.7207428977249625,1.5063488415096626,16.113098049183737
normal,0.0,5,0.9906221011682916,0.4590974815549555,0.9857218363492005,0.6371143203228091,0.9968006738608186,0.500282761358871,0.9926081611545948,0.46167619877697075,0.9937864452341285,0.533282530724942
normal,0.0,10,0.9948054553353771,0.33959017083021736,1.0111722494283888,0.49510005527799655,0.9911103251467012,0.355008679701975,0.9941798812936304,0.34022613163017507,0.9912911309158149,0.3584068812595315
normal,0.0,50,0.9962421431594892,0.17807761952822737,0.9970111586857502,0.24993995978154032,0.9949727282977997,0.1786971637608767,0.9957479034267239,0.1784045023593465,0.9949063798755875,0.1787043222580755
normal,0.0,100,0.9989901080602815,0.14017229821267152,0.9935568328499451,0.20000434365344763,0.9990147084122295,0.14059083666945343,0.9990048530046244,0.14059767649592417,0.9990259220134138,0.14058709333355196
normal,0.5,2,0.9998360735818657,0.6962221652183364,0.9972013561038631,1.2875925520372358,0.9997923503417586,0.692861477836946,0.9977391796867345,0.6153730406817175,0.0395873322380149,41.042645223648506
normal,0.5,5,1.0112142849687022,0.44767620020036303,0.9868822803022863,0.8189100211846112,1.0125486089933222,0.45966684902415794,1.0033067386615635,0.396380493129893,1.0155226138286375,0.4901437784216776
normal,0.5,10,1.003548353870684,0.3384994976377915,0.9737286680204488,0.5689519465821093,1.0022122450394744,0.3032510341872342,0.9967232311331856,0.29123305544022693,1.001268892803552,0.30557473018663406
normal,0.5,50,1.0009596939916279,0.17299020329584033,1.0055152689478168,0.29565836811696755,1.0021216289622117,0.1502682039270829,1.0021592078691577,0.15021575110129912,1.0021634629891154,0.15041697659508374
normal,0.5,100,0.997997813953705,0.14289172901311403,0.9957380121672513,0.24587616986500763,0.9973917299586652,0.12384150641994697,0.9974115357264985,0.1238447988059515,0.9973761138820898,0.12384110870965946
