Reference,PPI,PPCT,PPCT2,ANCOVA,Naive (ML only),lambda,rho,pred_bias
1.6951572093722274,1.6933004955615454,1.6934261112113025,1.693426392583384,1.6934302214938013,-13.22544943713327,0.93234517402014,0.384081866643058,15.120538911369549
1.8091093939455256,1.54131663231509,1.5427508953693483,1.5500592318114352,1.5428390677321127,-12.998441964571994,0.9946441306123215,0.49412714588204937,15.02069480364318
2.0710174247095092,1.9401426699872633,1.950690872862675,1.950452928005138,1.9507447491190142,-12.927223467308782,0.9194023102637485,0.48420076222167346,15.001705135361751
1.9242866693871377,1.9575068520800656,1.957928609751283,1.957514257729505,1.9583085333023846,-12.663672208517749,1.012695826363016,0.41743261790613534,14.762021387013801
1.4047271612685561,1.3832977198747216,1.3831756089714102,1.3831652659462408,1.3832046639010245,-13.075642084407106,1.0056982774803702,0.4440487358822158,14.701863444097057
1.8414084418968628,1.7271682363447882,1.720646039598241,1.7208163657949953,1.7200200298124926,-12.881107974000695,1.057091955630051,0.44747758202968135,14.957843052434066
2.247638744015064,2.365208450153328,2.3591041929408485,2.360129707663577,2.3592842532590796,-12.500270910387389,0.9480796761939566,0.4717120922541618,14.732806426471091
1.080178200780303,1.0366793240395642,1.0362869343381138,1.036248795524698,1.0363005361579702,-13.46614990149522,1.0090206858395132,0.466599284189148,14.988098952838989
1.2972982676889442,1.206007847243081,1.2315473646248378,1.2319346419374422,1.2313760169600392,-13.484629669418823,0.7202388020887567,0.40286153661294277,14.990080590558597
2.021741648327902,1.8644244666232392,1.908040950810142,1.9086454602931662,1.9076222568810488,-13.57228336891267,0.7227481212523533,0.3428034937749426,15.535809971181946
1.9832047761925222,2.2129316459477146,2.18245565638903,2.1781257483847787,2.1861178952851787,-13.030640555227503,0.8673381586091266,0.3986124037045745,14.88686766611615
2.3127978442309938,2.4048550634494035,2.4068649063459375,2.4052955412209305,2.4075141086217036,-12.697644762000419,1.021832539735597,0.41637300886940315,14.933364932978645
1.774200489431183,1.7504218387473243,1.7558927109608047,1.755841307549869,1.7559014495597651,-13.405219284422959,0.7699250354355137,0.4175134425916195,15.252730489122122
1.6992338656841495,1.6006190305789045,1.5869630188144737,1.5869381945838508,1.5868299518001856,-13.558087486724032,1.138478270027602,0.4841300690472005,15.409001610255986
2.055330483369967,1.8536483968992574,1.8651501030360034,1.8674837131809372,1.8651350453801177,-12.486814992496345,0.9429711069633496,0.39938242991735995,14.548635218374866
2.185720039023889,2.003489263683806,2.010766172020681,2.0039773493977417,2.009213215833892,-12.74985539257148,0.960067621271462,0.4833421338121517,14.902271243699474
1.91847684203513,2.0384487353243363,2.0440129030046403,2.0441503499283016,2.044034672901412,-13.309006269815493,1.0463789269949302,0.4471198643419339,15.370983925515848
1.9801605674307534,1.7954094995645724,1.8166426030346277,1.8080417496457217,1.8162899832701611,-12.76411779930424,0.8850718227759604,0.41104846288700797,14.854672921807042
1.3998621274005756,1.5058879056420507,1.51839569581595,1.5200960782549156,1.5180142944250494,-13.310222906231916,1.1179693314338444,0.46727040380293267,14.936931262852504
1.7881530341929663,2.0071854418157296,2.0162575824088207,2.015298738170363,2.017548022049236,-13.092534145570415,1.0414191703024884,0.42408263581980954,14.965103848821913
1.877316455817346,1.7743926402595027,1.7959812012512308,1.7967549237692462,1.7957846411255396,-12.607044234236875,0.7902471757899849,0.43019764699346086,14.722539344200232
2.0509728686867588,1.8523884520702598,1.837753531354603,1.8362805250071779,1.8378635427570784,-13.268496324381026,1.0736962192955941,0.5104405901972408,15.18270103592476
1.538511726332995,1.3762026811170969,1.3714922687556101,1.3708207057094677,1.37148714915649,-13.55884102160856,1.02902125605644,0.4642283900221573,15.381278944688576
1.6124966627836355,1.5877795574553828,1.5896468261591066,1.5897810587457843,1.5894068203116247,-13.083468404829468,0.9244543938731731,0.41122822300165585,14.843171449850594
1.5867571379034033,1.6359533124181012,1.6343190887743888,1.6343264319213617,1.634217482465968,-13.477125960018233,0.9667814894179576,0.4784073602766623,15.399637395275606
1.980108196402023,2.12795612644055,2.149463813062103,2.1488884801047545,2.1505319028318413,-13.011966601617914,1.1454716790147008,0.4662747917999922,14.800795946927146
1.9834794608667985,2.1390261974766935,2.139282899518979,2.1367037093301495,2.1391710927652667,-13.364472625121039,1.001650320976702,0.3671894086628867,15.27009282647246
1.8038818747793781,1.7773676684699458,1.7794410403671912,1.779650950091263,1.7790795096822691,-12.984139466222613,0.9218014722730958,0.4171606679303762,14.754056969515483
1.6037223124507103,1.7860915267759574,1.7530569494312631,1.7539660286637881,1.753018342593646,-13.360735805064023,0.8188588053805069,0.4500190236336308,14.968165129434762
1.4136711180708363,1.6136127421073583,1.6067816908056762,1.605993976289163,1.606528600922629,-13.257461837089384,0.965834771350891,0.4464724134203213,14.962922972985847
2.737921873979093,2.5820184327024864,2.6164580366156427,2.6167743822710126,2.6166882021521634,-12.324679324832298,0.7790965765017827,0.37184879213150857,14.89779536797279
1.9486558074209914,2.287203184355258,2.2807895520884687,2.277289776818949,2.2823277362198118,-13.327728303124962,0.9810554365392888,0.41554022132547735,15.020238009010132
1.600966538903621,1.881619015212139,1.8601613591298753,1.8640451302723369,1.8614066458769158,-13.165824212583802,0.9235436780587094,0.44507041257284397,14.981518583847128
2.3731688524068573,2.2919853114061244,2.2965518797795808,2.2984758497281,2.2966244661755653,-12.186954017114637,0.9437500715395589,0.4233659966486053,14.304524328888556
2.1818896097822895,2.0661566677977863,2.0289155544524204,2.0297293122996534,2.027834667584928,-12.759818937991541,1.321784901574113,0.5761415009030114,14.657004277336688
2.2773900482655964,2.090566997212206,2.096146631818464,2.0963824822640733,2.0958272270747367,-12.705481498107856,0.9701341211654737,0.4510344427695718,14.942016616561714
1.8708003746490776,1.8374793340120075,1.8434852181526322,1.8433645896220205,1.8435174723154322,-13.312227145035047,0.8197570056097626,0.4279117927611634,15.0702483937209
2.4589430507414596,2.6445619570029857,2.633008790932161,2.632852279326738,2.634459036836726,-12.808439078159154,0.9377586782321246,0.3910957071699534,14.911058177753244
2.0718398751375773,1.996991303765331,2.0016690510850887,2.002314012202171,2.0010430555794625,-12.547111708832206,0.9375038529928158,0.41390617085069503,14.687726150099383
2.107376240029033,2.226541117491093,2.3039654174985715,2.3037613024558157,2.303401204160019,-13.132898436461348,1.6497241608134972,0.5321500344680988,15.104483931593524
1.7647034950956066,1.8264952240552297,1.817178630987248,1.8173111905717492,1.8171347741880095,-12.92657167419129,0.8492258879166682,0.4064454701821255,14.805179869029262
2.341947607153595,2.1253303477896113,2.118488151573352,2.119304860539024,2.117566609666272,-12.713201052094078,1.0315865699545284,0.44211134870488644,14.763107599862401
2.021044775316205,2.0198706213893276,2.0200207716797927,2.0200238335932887,2.020021393543601,-12.647837010294149,0.8721204375104349,0.41520971884582336,14.83661659521746
2.788427084763783,2.3826100418808425,2.417284845985537,2.419214072027467,2.413931783329802,-12.697798864739218,0.9145555744569909,0.4289145841090828,15.001845269562345
2.6211567702334935,2.4717876053502534,2.492309113944287,2.4928150196108096,2.491902212386208,-12.726694444919403,0.8626121488322247,0.44101690592941567,14.99527137403181
2.032350464478958,1.851093052804615,1.907439500017102,1.908149843675398,1.9075018654897473,-12.83908445385281,0.6891357617214444,0.34052504308138126,14.919712974648975
2.4026789799155246,2.283292290182043,2.2858475137166776,2.2858803338183833,2.2860328002205526,-12.477027713126315,0.9785970819666907,0.418992505575253,14.880425142933824
